Engine CC,Total,Price,Female,Manufacturer,Unknown,Fuel,Male,Power,Model,Transmission
1166.142857,1561512.0,18.53214286,789633.0,Ford,41603.0,petrol,730276.0,68.57142857,Fiesta,5.714285714
1650.205128,1527071.0,16.20874359,501907.0,Ford,35418.0,petrol,989746.0,63.56410256,Escort,4.461538462
1497.169492,1293390.0,30.61932203,422731.0,Ford,56487.0,petrol,814172.0,94.03389831,Focus,5.966101695
1836.5,946240.0,18.2955625,150663.0,Ford,14367.0,petrol,781210.0,70.25,Sierra,4.875
1537.406593,841383.0,31.24215385,310604.0,Volkswagen,47563.0,petrol,483216.0,89.46153846,Golf,6.164835165
1998.5,759309.0,39.97375,138468.0,Ford,26372.0,petrol,594469.0,130.25,Mondeo,1.75
1219.653846,693039.0,22.1,390458.0,Renault,32611.0,petrol,269970.0,75.57692308,Clio,5.615384615
1279.695652,559725.0,20.3776087,328691.0,Nissan,29555.0,petrol,201479.0,67.95652174,Micra,4.869565217
1408.055556,547144.0,18.1925,299110.0,Volkswagen,31701.0,petrol,216333.0,60.96296296,Polo,5.074074074
1623.793103,515555.0,26.4498867,208847.0,Renault,27336.0,petrol,279372.0,87.31034483,Megane,5.408866995
1593.111111,423833.0,15.40377778,92530.0,Ford,6021.0,petrol,325282.0,60.11111111,Orion,5.0
1480.575,409448.0,29.942625,140616.0,Honda,22096.0,petrol,246736.0,106.225,Civic,4.5
1397.8,380521.0,20.7206,214944.0,Toyota,27670.0,petrol,137907.0,74.4,Yaris,3.52
1743.44186,300035.0,22.36209302,104949.0,Citroen,12340.0,petrol,182746.0,72.58139535,Xsara,4.88372093
1596.92,296091.0,46.5274,69373.0,Mercedes,17242.0,petrol,209476.0,131.6,CLA,7.04
1835.846154,276803.0,46.06451282,49068.0,Volkswagen,14824.0,petrol,212911.0,125.4358974,Passat,6.487179487
2283.112903,275602.0,57.92693548,59936.0,Audi,13629.0,petrol,202037.0,149.7096774,A,6.161290323
1424.666667,256455.0,36.21929825,97033.0,Audi,14460.0,petrol,144962.0,94.33333333,A,6.473684211
2326.358974,255126.0,18.84548718,28664.0,Ford,3797.0,petrol,222665.0,87.07692308,Granada,4.076923077
1677.949153,244843.0,27.23911864,88669.0,Toyota,15081.0,petrol,141093.0,91.61016949,Corolla,3.033898305
1920.026316,234751.0,34.02059211,48225.0,Renault,9910.0,diesel,176616.0,99.0,Laguna,5.552631579
1367.272727,218514.0,12.32981818,117723.0,Citroen,7462.0,petrol,93329.0,53.81818182,Saxo,4.818181818
1337.714286,213618.0,11.28285714,103142.0,Fiat,6014.0,petrol,104462.0,49.28571429,Uno,4.285714286
1292.352941,207716.0,19.00794118,87532.0,Skoda,10776.0,petrol,109408.0,66.97058824,Fabia,5.205882353
1711.571429,203187.0,31.38814286,123251.0,Mini,11941.0,petrol,67995.0,111.0,Cooper,6.714285714
1847.666667,200981.0,22.78208333,68938.0,Nissan,10254.0,petrol,121789.0,81.66666667,Almera,4.916666667
1933.021739,191768.0,26.51269565,38787.0,Nissan,8638.0,petrol,144343.0,93.58695652,Primera,4.02173913
2083.523077,187569.0,43.86363077,59369.0,Land,9921.0,diesel,118279.0,105.1692308,Freelander,5.292307692
1242.0,178764.0,10.83275,99333.0,Citroen,6116.0,petrol,73315.0,45.0,AX,5.0
1873.261538,175500.0,37.31523077,32101.0,Toyota,10284.0,petrol,133115.0,103.6769231,Avensis,4.323076923
2425.428571,166195.0,107.4521429,33031.0,Land,6759.0,diesel,126405.0,182.5714286,Discovery,8.0
2598.818182,158564.0,78.07322727,24029.0,Mercedes,9465.0,petrol,125070.0,192.4,E,7.672727273
1472.826087,156802.0,32.06304348,62467.0,Renault,8346.0,diesel,85989.0,89.34782609,Scenic,5.956521739
1205.192982,154894.0,19.93814035,73895.0,Seat,6282.0,petrol,74717.0,76.31578947,Ibiza,5.649122807
1891.7,152453.0,14.4382,24245.0,Nissan,2950.0,petrol,125258.0,64.2,Bluebird,4.9
1791.230769,149524.0,17.44569231,29779.0,Toyota,5934.0,petrol,113811.0,68.26923077,Carina,4.692307692
2521.092437,148446.0,107.6705126,34079.0,Land,6847.0,diesel,107520.0,196.3361345,Range,8.277310924
1136.692308,142237.0,30.65053846,25662.0,Skoda,6147.0,petrol,110428.0,95.0,Octavia,6.346153846
2151.647059,140907.0,39.39984314,24654.0,Honda,8171.0,petrol,108082.0,117.7058824,Accord,5.784313725
1699.119048,134165.0,31.1045119,68928.0,Mercedes,9727.0,petrol,55510.0,93.01190476,A,4.547619048
1703.153846,128499.0,16.05676923,42254.0,Citroen,5382.0,petrol,80863.0,67.0,ZX,4.923076923
1462.3625,127281.0,3.56025,42130.0,Mini,5547.0,petrol,79604.0,80.12,Two,5.95
1498.25,124949.0,24.09525,87974.0,Mini,7427.0,petrol,29548.0,68.75,One,6.25
1982.756098,114654.0,24.84390244,20790.0,Citroen,4015.0,petrol,89849.0,84.92682927,Xantia,4.756097561
998.0,107356.0,15.20916667,66147.0,Toyota,7814.0,petrol,33395.0,53.0,Aygo,5.0
2790.454545,106514.0,82.06090909,15146.0,Audi,5507.0,diesel,85861.0,199.7272727,A,7.727272727
998.0,105385.0,16.59192308,64725.0,Kia,3857.0,petrol,36803.0,52.84615385,Picanto,5.0
1855.0,101991.0,53.78571429,29356.0,Ford,4915.0,diesel,67720.0,124.8571429,Galaxy,6.0
